ds,yhat,yhat_lower,yhat_upper,y,y-yhat
2021-03-03 21:30:00,7535.909030698267,7394.734537880832,7673.757715759419,7478.65,-57.25903069826745
2021-03-03 22:00:00,7524.146793704018,7384.8961520744,7669.31583631924,7308.01,-216.1367937040177
2021-03-03 22:30:00,7331.321136500654,7191.369277375862,7478.507366344542,7326.16,-5.161136500653811
2021-03-03 23:00:00,7447.255254221575,7307.804148769518,7588.1245797568,7248.16,-199.0952542215755
2021-03-03 23:30:00,7324.666087762457,7187.3007297043505,7455.716026591521,7096.47,-228.19608776245695
2021-03-04 00:00:00,7102.320231324086,6963.323002212207,7236.873234040989,7010.79,-91.53023132408634
2021-03-04 00:30:00,7020.404287194092,6888.378114779065,7161.254483031465,6831.85,-188.55428719409156
2021-03-04 01:00:00,6775.864566513561,6645.127347578335,6913.731578807494,6641.11,-134.75456651356126
2021-03-04 01:30:00,6558.003767430964,6419.6877453619245,6701.211620741301,6368.14,-189.8637674309639
2021-03-04 02:00:00,6244.129214384144,6108.952122498685,6379.720571833963,6174.93,-69.19921438414349
2021-03-04 02:30:00,6110.523348200442,5977.916763441332,6250.63821722894,6052.78,-57.7433482004426
2021-03-04 03:00:00,6073.415521181501,5935.127000034286,6215.16521096565,6024.68,-48.7355211815011
2021-03-04 03:30:00,6151.347163454872,6023.084121579783,6304.672407412208,6053.69,-97.65716345487272
2021-03-04 04:00:00,6269.89253339901,6125.954846310022,6400.369801306815,6095.54,-174.3525333990101
2021-03-04 04:30:00,6367.47967527213,6225.6977069470295,6509.6590534486995,6340.1,-27.379675272130044
2021-03-04 05:00:00,6751.342060308373,6608.941103857652,6894.924151503198,6519.71,-231.63206030837318
2021-03-04 05:30:00,6925.081617750394,6788.597459004801,7057.439697014388,6990.17,65.08838224960618
2021-03-04 06:00:00,7535.198958738974,7394.433193980984,7676.415539259378,7438.72,-96.47895873897414
2021-03-04 06:30:00,7966.150647252105,7828.862889055983,8104.150905121217,7720.04,-246.11064725210508
2021-03-04 07:00:00,8108.403240412901,7976.730670021497,8240.198670872893,7822.11,-286.29324041290147
2021-03-04 07:30:00,8052.225241936329,7913.987563556024,8194.152408604528,7683.26,-368.9652419363292
2021-03-04 08:00:00,7731.605043162798,7591.913707547573,7879.673730104072,7428.18,-303.4250431627979
2021-03-04 08:30:00,7372.604214425219,7240.262410926672,7520.093013494875,7303.04,-69.56421442521878
2021-03-04 09:00:00,7303.781877638426,7172.401874977524,7441.520721551545,7108.77,-195.01187763842518
2021-03-04 09:30:00,7092.09653540008,6958.289818753573,7235.947169228412,6940.05,-152.04653540007985
2021-03-04 10:00:00,6945.4505068098,6804.541648003433,7089.01547241458,6824.84,-120.61050680979952
2021-03-04 10:30:00,6880.1614500191135,6738.064394660734,7013.598224686216,6649.89,-230.27145001911322
2021-03-04 11:00:00,6696.598863602652,6563.86344219363,6833.7918406134795,6591.7,-104.89886360265245
2021-03-04 11:30:00,6712.722214118843,6577.737418243854,6842.197691457136,6532.98,-179.74221411884355
2021-03-04 12:00:00,6676.856260843475,6542.639231079348,6817.096223340718,6514.09,-162.7662608434748
2021-03-04 12:30:00,6687.416275371155,6548.1963668108965,6815.695327879453,6597.36,-90.0562753711556
2021-03-04 13:00:00,6836.412305851422,6698.579791074875,6974.1383072672925,6659.57,-176.84230585142268
2021-03-04 13:30:00,6902.810228325592,6765.888193398495,7038.443460317121,6739.95,-162.8602283255923
2021-03-04 14:00:00,7000.095068353379,6867.149543547671,7143.9330499454945,6825.77,-174.3250683533788
2021-03-04 14:30:00,7104.517003363667,6965.180128056657,7235.552158536574,6985.34,-119.1770033636667
2021-03-04 15:00:00,7322.081446035755,7190.40245228746,7463.361808285522,7273.84,-48.24144603575496
2021-03-04 15:30:00,7701.33264813079,7574.369562589993,7847.04344083745,7524.78,-176.55264813079066
2021-03-04 16:00:00,7947.207658538857,7806.44494774396,8085.620033023154,7926.54,-20.667658538856813
2021-03-04 16:30:00,8419.781726381072,8279.548691422486,8550.575150010818,8206.88,-212.90172638107288
2021-03-04 17:00:00,8628.133045665814,8496.923208361924,8767.446879689433,8581.2,-46.93304566581355
2021-03-04 17:30:00,9008.093360085995,8864.367891790336,9144.145880030641,8759.28,-248.81336008599465
2021-03-04 18:00:00,9046.538963163335,8905.19316720197,9182.352470126449,8953.9,-92.63896316333557
2021-03-04 18:30:00,9185.912537560109,9051.928896156147,9333.911100979616,8851.2,-334.7125375601081
2021-03-04 19:00:00,8883.673259003488,8745.0107578497,9018.525277045035,8791.81,-91.86325900348857
2021-03-04 19:30:00,8791.867022418513,8640.82871773221,8928.761414428876,8685.0,-106.86702241851344
2021-03-04 20:00:00,8650.019476427065,8509.088850574242,8782.074938401005,8507.28,-142.7394764270648
2021-03-04 20:30:00,8429.829769731465,8305.140168899276,8566.359778999276,8212.91,-216.91976973146484
2021-03-04 21:00:00,8079.391583249171,7931.279844458284,8221.105475343038,7876.71,-202.68158324917113
2021-03-04 21:30:00,7733.048905690253,7592.973144375536,7881.979225738323,7731.97,-1.0789056902531229
2021-03-04 22:00:00,7715.130455243839,7574.036193590951,7851.088172977832,7613.25,-101.8804552438387
